Total time to construct inverted index: 15.814880609512329 seconds.
Size of inverted index: 
unique terms indexed: 13352
average postings list length: 6.995206710605153 postings
total unique positional indicies: 93400

*********************
Token: bart
Found in 104 documents
docID: 6.18 @ position 453
docID: 6.18 @ position 480
docID: 6.18 @ position 653
docID: 6.19 @ position 61
docID: 6.19 @ position 363
docID: 6.19 @ position 401
docID: 6.19 @ position 416
docID: 6.19 @ position 465
docID: 6.20 @ position 140
docID: 6.20 @ position 150
docID: 6.21 @ position 60
docID: 6.21 @ position 108
docID: 6.21 @ position 206
docID: 6.21 @ position 236
docID: 6.21 @ position 550
docID: 6.21 @ position 586
docID: 6.21 @ position 711
docID: 6.22 @ position 1
docID: 6.22 @ position 15
docID: 6.22 @ position 27
docID: 6.22 @ position 38
docID: 6.22 @ position 56
docID: 6.22 @ position 86
docID: 6.22 @ position 148
docID: 6.22 @ position 158
docID: 6.22 @ position 166
docID: 6.22 @ position 208
docID: 6.22 @ position 224
docID: 6.22 @ position 236
docID: 6.22 @ position 599
docID: 6.22 @ position 807
docID: 6.22 @ position 819
docID: 6.22 @ position 1090
docID: 6.23 @ position 122
docID: 6.24 @ position 3
docID: 6.24 @ position 59
docID: 6.24 @ position 75
docID: 6.24 @ position 113
docID: 6.24 @ position 162
docID: 6.24 @ position 236
docID: 6.24 @ position 334
docID: 6.24 @ position 356
docID: 6.24 @ position 496
docID: 6.25 @ position 118
docID: 6.25 @ position 181
docID: 6.25 @ position 1418
docID: 7.1 @ position 118
docID: 7.1 @ position 181
docID: 7.1 @ position 1418
docID: 7.2 @ position 15
docID: 7.2 @ position 27
docID: 7.2 @ position 104
docID: 7.2 @ position 115
docID: 7.2 @ position 135
docID: 7.2 @ position 150
docID: 7.2 @ position 157
docID: 7.2 @ position 187
docID: 7.2 @ position 698
docID: 7.2 @ position 710
docID: 7.3 @ position 1
docID: 7.3 @ position 41
docID: 7.3 @ position 102
docID: 7.3 @ position 321
docID: 7.4 @ position 17
docID: 7.4 @ position 25
docID: 7.4 @ position 27
docID: 7.4 @ position 54
docID: 7.4 @ position 62
docID: 7.4 @ position 93
docID: 7.4 @ position 102
docID: 7.4 @ position 114
docID: 7.4 @ position 124
docID: 7.4 @ position 143
docID: 7.4 @ position 157
docID: 7.4 @ position 219
docID: 7.4 @ position 451
docID: 7.4 @ position 524
docID: 7.4 @ position 563
docID: 7.4 @ position 627
docID: 7.4 @ position 651
docID: 7.4 @ position 703
docID: 7.4 @ position 735
docID: 7.4 @ position 751
docID: 7.4 @ position 769
docID: 7.4 @ position 773
docID: 7.4 @ position 792
docID: 7.4 @ position 835
docID: 7.4 @ position 887
docID: 7.4 @ position 901
docID: 7.4 @ position 919
docID: 7.4 @ position 936
docID: 7.4 @ position 1053
docID: 7.4 @ position 1114
docID: 7.4 @ position 1149
docID: 7.4 @ position 1239
docID: 7.4 @ position 1315
docID: 7.4 @ position 1329
docID: 7.4 @ position 1337
docID: 7.4 @ position 1349
docID: 7.4 @ position 1363
docID: 7.5 @ position 29
docID: 7.5 @ position 118
docID: 7.6 @ position 146
docID: 7.6 @ position 212
docID: 7.6 @ position 223
docID: 7.6 @ position 230
docID: 7.6 @ position 241
docID: 7.6 @ position 323
docID: 7.6 @ position 390
docID: 7.6 @ position 398
docID: 7.6 @ position 405
docID: 7.6 @ position 813
docID: 7.6 @ position 817
docID: 7.6 @ position 824
docID: 7.6 @ position 836
docID: 7.6 @ position 1140
docID: 7.7 @ position 55
docID: 7.7 @ position 560
docID: 7.7 @ position 933
docID: 7.8 @ position 97
docID: 7.9 @ position 160
docID: 7.9 @ position 173
docID: 7.9 @ position 188
docID: 7.9 @ position 206
docID: 7.10 @ position 823
docID: 7.10 @ position 858
docID: 7.11 @ position 1
docID: 7.11 @ position 23
docID: 7.11 @ position 38
docID: 7.11 @ position 60
docID: 7.11 @ position 70
docID: 7.11 @ position 88
docID: 7.11 @ position 100
docID: 7.11 @ position 113
docID: 7.11 @ position 123
docID: 7.11 @ position 130
docID: 7.11 @ position 149
docID: 7.11 @ position 165
docID: 7.11 @ position 179
docID: 7.11 @ position 206
docID: 7.11 @ position 457
docID: 7.11 @ position 482
docID: 7.11 @ position 604
docID: 7.11 @ position 619
docID: 7.11 @ position 633
docID: 7.11 @ position 706
docID: 7.11 @ position 787
docID: 7.12 @ position 138
docID: 7.12 @ position 166
docID: 7.12 @ position 575
docID: 7.12 @ position 582
docID: 7.13 @ position 19
docID: 7.13 @ position 21
docID: 7.13 @ position 40
docID: 7.13 @ position 54
docID: 7.13 @ position 73
docID: 7.13 @ position 88
docID: 7.13 @ position 126
docID: 7.13 @ position 145
docID: 7.13 @ position 345
docID: 7.13 @ position 361
docID: 7.13 @ position 819
docID: 7.13 @ position 853
docID: 7.13 @ position 877
docID: 7.13 @ position 1053
docID: 7.15 @ position 27
docID: 7.15 @ position 41
docID: 7.15 @ position 56
docID: 7.15 @ position 67
docID: 7.15 @ position 120
docID: 7.15 @ position 127
docID: 7.15 @ position 190
docID: 7.15 @ position 540
docID: 7.15 @ position 591
docID: 7.15 @ position 631
docID: 7.15 @ position 659
docID: 7.15 @ position 727
docID: 7.15 @ position 745
docID: 7.18 @ position 29
docID: 7.18 @ position 38
docID: 7.18 @ position 57
docID: 7.18 @ position 88
docID: 7.18 @ position 107
docID: 7.18 @ position 124
docID: 7.18 @ position 149
docID: 7.18 @ position 166
docID: 7.18 @ position 175
docID: 7.18 @ position 210
docID: 7.18 @ position 318
docID: 7.18 @ position 403
docID: 7.18 @ position 537
docID: 7.18 @ position 548
docID: 7.18 @ position 686
docID: 7.18 @ position 1373
docID: 7.20 @ position 43
docID: 7.20 @ position 54
docID: 7.20 @ position 81
docID: 7.20 @ position 143
docID: 7.20 @ position 164
docID: 7.20 @ position 182
docID: 7.20 @ position 193
docID: 7.20 @ position 197
docID: 7.20 @ position 221
docID: 7.20 @ position 232
docID: 7.20 @ position 248
docID: 7.20 @ position 303
docID: 7.20 @ position 353
docID: 7.20 @ position 507
docID: 7.20 @ position 509
docID: 7.20 @ position 621
docID: 7.20 @ position 721
docID: 7.20 @ position 739
docID: 7.20 @ position 759
docID: 7.20 @ position 898
docID: 7.21 @ position 16
docID: 7.21 @ position 23
docID: 7.21 @ position 54
docID: 7.21 @ position 273
docID: 7.22 @ position 7
